tool_id,tool,category,layer,verdict,evidence,evidence_url
honeyhive,HoneyHive,observability_eval,L4,Full,GitHub integration to 'automatically run experiments on code changes and set performance thresholds' and 'Trigger automated experiment runs on code changes' with alerts on degradation (evals in CI/CD); plus alerts and semantic observability via traces.,https://docs.honeyhive.ai/evaluation/introduction
agentops,AgentOps,observability_eval,L1,Partial,"The @tool decorator supports cost tracking and a @guardrail decorator is listed among available decorators, but without described configurable behavior.",https://docs.agentops.ai/v2/concepts/decorators
agentops,AgentOps,observability_eval,L2,None,,
agentops,AgentOps,observability_eval,L3,None,,
agentops,AgentOps,observability_eval,L4,Partial,"Session recording captures execution times, LLM calls, events, errors and timing breakdowns visualized on a waterfall timeline (observability signals), but no CI/CD evals or rollout mechanisms described.",https://docs.agentops.ai/v2/introduction
fiddler,Fiddler AI,observability_eval,L1,Partial,"Guardrails 'actively moderates and mitigates harmful content in both prompts and responses' via real-time moderation, an adjacent closed-loop guardrail but without configurable interrupt/budget/iteration mechanisms.",https://docs.fiddler.ai/getting-started/guardrails
fiddler,Fiddler AI,observability_eval,L2,Partial,"Captures 'agent handoffs—how often agents delegate to other agents' and 'error propagation: how failures cascade through agent workflows,' monitoring inter-agent coupling but without governing/detecting emergent population behavior.",https://docs.fiddler.ai/getting-started/agentic-monitoring
fiddler,Fiddler AI,observability_eval,L3,Partial,"Alerting with warning/critical thresholds, notification channels, and 'alert history and audit logs' provides monitoring/audit trails but no approval gates, override, or kill switches over agent actions.",https://docs.fiddler.ai/observability/monitoring
fiddler,Fiddler AI,observability_eval,L4,Full,"Experiments support regression testing to 'protect against quality degradation as you develop' through standard test suites before deployments, plus semantic observability via 14+ enrichment metrics and golden-signal alerts.",https://docs.fiddler.ai/getting-started/experiments
orq_ai,Orq.ai,observability_eval,L1,Partial,"Apply guardrails, run evaluations, and monitor quality and compliance in real time across all agents; traces capture guardrails and retry/fallback logic, but no configurable budget caps/iteration limits detailed.",https://orq.ai/platform/agent-runtime
orq_ai,Orq.ai,observability_eval,L2,Partial,Multi-agent runs render as 'agent graph' structures showing delegation patterns; traces the multi-agent workflow but does not describe governing inter-agent coupling.,https://docs.orq.ai/docs/observability/traces
orq_ai,Orq.ai,observability_eval,L3,Full,"Approve, correct, or guide agent actions with a clear control panel; build workflows that keep humans in the loop for safety, accuracy, or sensitive decisions.",https://orq.ai/platform/agent-runtime
orq_ai,Orq.ai,observability_eval,L4,Full,"Framework instrumentation using OpenTelemetry with @traced spans, Total Cost/Total Tokens telemetry, and run evaluations with guardrails in the runtime.",https://docs.orq.ai/docs/observability/traces
guardrails_ai,Guardrails AI,guardrails_gateway,L1,Partial,"Input/Output Guards intercept LLM inputs/outputs to detect, quantify and mitigate risks, with on_fail actions (exception, fix, reask, filter, refrain, noop) — a closed-loop guardrail, though not budget/iteration bounded.",https://www.guardrailsai.com/docs/concepts/validators
guardrails_ai,Guardrails AI,guardrails_gateway,L2,None,,
guardrails_ai,Guardrails AI,guardrails_gateway,L3,None,,
guardrails_ai,Guardrails AI,guardrails_gateway,L4,None,,
nemo_guardrails,NVIDIA NeMo Guardrails,guardrails_gateway,L1,Full,"Execution rails 'control and validate tool/function calls, their arguments, and results to safely interact with external systems'; input/output rails block or modify content based on defined policies.",https://docs.nvidia.com/nemo/guardrails/about-nemo-guardrails-library/rail-types
nemo_guardrails,NVIDIA NeMo Guardrails,guardrails_gateway,L2,None,,
nemo_guardrails,NVIDIA NeMo Guardrails,guardrails_gateway,L3,Partial,"Output rails filter, edit, or block unsafe content before it reaches users, and execution rails validate tool calls; approval/blocking gates on actions but no explicit human escalation/override described.",https://docs.nvidia.com/nemo/guardrails/about-nemo-guardrails-library/overview
nemo_guardrails,NVIDIA NeMo Guardrails,guardrails_gateway,L4,Partial,"OpenTelemetry distributed tracing to monitor guardrails execution, track activated rails, monitor LLM performance, plus evaluation/measurement across rails; policy-as-code via YAML configs but no CI/CD evals or rollout described.",https://docs.nvidia.com/nemo/guardrails/observability/tracing
lakera_guard,Lakera Guard,guardrails_gateway,L1,Full,"Agent Behavior Defense controls tool usage through an 'Off-Task Action detector' and 'Tool Allow/Deny List,' enforcing least-privilege tool access; guardrails block prompt injections and harmful content in a closed loop.",https://docs.lakera.ai/docs/defenses
lakera_guard,Lakera Guard,guardrails_gateway,L2,None,,
lakera_guard,Lakera Guard,guardrails_gateway,L3,Partial,"Guardrails detect and stop harmful/unwanted content and audit logs let admins 'investigate and respond to threats'; RBAC and logging described, but no explicit approval gate, kill switch, or escalation workflow.",https://docs.lakera.ai/docs/platform
lakera_guard,Lakera Guard,guardrails_gateway,L4,Partial,Policies Overview and configurable guardrail thresholds plus SIEM log export to S3 and latency/analytics golden signals; agent-security evaluation frameworks exist but no described CI/CD evals or progressive rollout.,https://docs.lakera.ai/docs/platform
portkey,Portkey,guardrails_gateway,L1,Full,"Budget caps ('Maximum spend in USD ($1000/month)'), rate limits, model allowlists/denylists for least-privilege tool access, and real-time guardrails that block requests (446/deny setting).",https://portkey.ai/docs/product/model-catalog
portkey,Portkey,guardrails_gateway,L2,None,,
portkey,Portkey,guardrails_gateway,L3,Partial,"OpenTelemetry-compliant observability logs and records all requests/responses and supports tracing throughout request lifecycle, providing audit-trail-like logging; but no approval gates/kill switches described.",https://portkey.ai/docs/product/observability
portkey,Portkey,guardrails_gateway,L4,Partial,"OpenTelemetry-compliant observability with 21+ metrics (cost, latency, accuracy) and 'Send Feedback' to build evaluation datasets; semantic observability adjacent but no CI/CD evals or progressive rollout described.",https://portkey.ai/docs/product/observability
litellm,LiteLLM,guardrails_gateway,L1,Full,"max_budget parameter, tpm_limit/rpm_limit rate limits, max_parallel_requests, and models array for allowed model access (least-privilege), plus pre-call guardrails that filter/block requests.",https://docs.litellm.ai/docs/proxy/virtual_keys
litellm,LiteLLM,guardrails_gateway,L2,None,,
litellm,LiteLLM,guardrails_gateway,L3,Partial,"Keys can be disabled with /key/block and re-enabled with /key/unblock; spend logs record API key hash, user, team ID for audit-style tracking.",https://docs.litellm.ai/docs/proxy/virtual_keys
litellm,LiteLLM,guardrails_gateway,L4,Partial,"Per-key virtual identities and spend tracking with logging callbacks (Langfuse, MLflow) and per-key/user/team observability, but no evals-in-CI or progressive rollout described.",https://docs.litellm.ai/docs/proxy/cost_tracking
invariant_labs,Invariant Labs (Guardrails/Explorer),guardrails_gateway,L1,Partial,"Guardrails is deployed between your application and MCP servers/LLM provider, raising rules to prevent malicious behavior; and scans require explicit user consent before starting each server (least-privilege/gating), but no configurable budget/iteration limits described.",https://github.com/invariantlabs-ai/invariant
invariant_labs,Invariant Labs (Guardrails/Explorer),guardrails_gateway,L2,Partial,"Rules detect 'flows between tools' using `(call: ToolCall) -> (call2: ToolCall)` and detect 'Toxic Flows' and 'Tool Shadowing' across sequential tool calls, but this is single-agent tool-flow monitoring rather than inter-agent coupling governance.",https://github.com/invariantlabs-ai/invariant
invariant_labs,Invariant Labs (Guardrails/Explorer),guardrails_gateway,L3,Partial,"Guardrails raise/block malicious agent behavior via rules deployed inline for 'continuous steering and monitoring', and scans require explicit user consent before starting each server, but no described approval gate/kill-switch/audit-provenance for live agent decisions.",https://github.com/invariantlabs-ai/invariant
invariant_labs,Invariant Labs (Guardrails/Explorer),guardrails_gateway,L4,Partial,"Policy-like rule-based guardrails via 'simple Python-inspired matching rules' evaluated automatically on each LLM/MCP request through the Gateway, resembling policy-as-code gating, though not tied to CI/CD or rollout.",https://github.com/invariantlabs-ai/invariant
langgraph,LangGraph,orchestration_hitl,L1,Full,Guardrails validate and filter content at key points; PII detection with block strategy raises exception; before-agent hooks for rate limiting and blocking requests,https://docs.langchain.com/oss/python/langchain/guardrails
langgraph,LangGraph,orchestration_hitl,L2,None,,
langgraph,LangGraph,orchestration_hitl,L3,Full,HITL middleware pauses before executing sensitive tool calls with approve/edit/reject/respond decisions gated by policy and 'when' predicates,https://docs.langchain.com/oss/python/langgraph/interrupts
langgraph,LangGraph,orchestration_hitl,L4,None,,
crewai,CrewAI,orchestration_hitl,L1,Full,"Function-based and LLM-based guardrails validate task outputs, with `guardrail_max_retries` (default 3) controlling retry attempts before failure; also `max_rpm` caps requests per minute.",https://docs.crewai.com/en/introduction
crewai,CrewAI,orchestration_hitl,L2,None,,
crewai,CrewAI,orchestration_hitl,L3,Full,`human_input=True` prompts users for verification/approval before agents finalize output; `@human_feedback` decorator pauses flow execution to collect human feedback.,https://docs.crewai.com/en/learn/human-input-on-execution
crewai,CrewAI,orchestration_hitl,L4,Partial,"Observability guidance recommends instrumenting code, configuring dashboards, establishing alerts, tracking token usage/costs and safety compliance across nine platforms plus Patronus AI for evaluation.",https://docs.crewai.com/en/introduction
autogen,Microsoft AutoGen,orchestration_hitl,L1,Full,"Termination conditions include TokenUsageTermination (stops when token budget hit), MaxMessageTermination (iteration limit), TimeoutTermination, plus least-privilege via specifying handoffs and disabling parallel tool calls.",https://microsoft.github.io/autogen/stable/user-guide/agentchat-user-guide/tutorial/termination.html
autogen,Microsoft AutoGen,orchestration_hitl,L2,None,,
autogen,Microsoft AutoGen,orchestration_hitl,L3,Full,"UserProxyAgent provides human approval during runs (approve/disapprove with button click), ExternalTermination allows external kill of the run, and HandoffMessage escalates to a human user.",https://microsoft.github.io/autogen/stable/user-guide/agentchat-user-guide/tutorial/human-in-the-loop.html
autogen,Microsoft AutoGen,orchestration_hitl,L4,Partial,"Native OpenTelemetry support collects telemetry with create_agent, invoke_agent, and execute_tool spans, giving traced observability but not full semantic observability or CI/CD evals.",https://microsoft.github.io/autogen/stable/user-guide/core-user-guide/framework/telemetry.html
temporal,Temporal (durable execution for agents),orchestration_hitl,L1,Full,"Retry Policy Maximum Attempts specifies the maximum number of execution attempts, and timeouts (Start-To-Close, Schedule-To-Close) bound activity duration despite failures.",https://docs.temporal.io/encyclopedia/retry-policies
temporal,Temporal (durable execution for agents),orchestration_hitl,L2,None,,
temporal,Temporal (durable execution for agents),orchestration_hitl,L3,Full,"Human-in-the-loop interactions like validating LLM results or approving agent decisions, facilitated via Signals/Updates message passing.",https://temporal.io/solutions/ai
temporal,Temporal (durable execution for agents),orchestration_hitl,L4,Partial,"Inspect and troubleshoot an AI application's performance, inputs, and outputs from a detailed UI; Event History records series of commands/events as source of truth.",https://temporal.io/solutions/ai
openai_agents_sdk,OpenAI Agents SDK,orchestration_hitl,L1,Full,"Tool guardrails wrap function tools and validate before/after execution; tripwires halt execution immediately, and needs_approval enables least-privilege per-call tool gating.",https://openai.github.io/openai-agents-python/human_in_the_loop/
openai_agents_sdk,OpenAI Agents SDK,orchestration_hitl,L2,None,,
openai_agents_sdk,OpenAI Agents SDK,orchestration_hitl,L3,Full,HITL flow pauses agent execution until a person approves or rejects sensitive tool calls via state.approve()/state.reject() on RunState interruptions.,https://openai.github.io/openai-agents-python/human_in_the_loop/
openai_agents_sdk,OpenAI Agents SDK,orchestration_hitl,L4,Partial,"Built-in tracing captures spans/traces with metadata and integrates with observability platforms (Datadog, Langfuse, etc.), plus guardrail evaluation spans, but no policy-as-code/CI eval gates or rollout described.",https://openai.github.io/openai-agents-python/tracing/
humanlayer,HumanLayer,orchestration_hitl,L1,Partial,"Approval gating deterministically blocks high-stakes function calls, with stakes classification (low/medium/high) and 'escalations and timeouts (Promise.race / Promise.all semantics)' — but no configurable budget caps or iteration limits described.",https://www.everydev.ai/tools/humanlayer
humanlayer,HumanLayer,orchestration_hitl,L2,None,,
humanlayer,HumanLayer,orchestration_hitl,L3,Full,"The `@hl.require_approval()` decorator blocks specific function calls until a human has been consulted; upon denial feedback is passed to the LLM, with granular routing to specific users/teams across Slack/Email/Discord.",https://pypi.org/project/humanlayer/
humanlayer,HumanLayer,orchestration_hitl,L4,Partial,"Run IDs and Call IDs track approval/human-contact requests and correlate them with agent runs; enterprise Audit Logs, agent/response webhooks, and learning & auto-approvals from prior decisions are mentioned but without detailed operational configuration.",https://www.humanlayer.dev/docs/core/run-ids-and-call-ids
azure_ai_foundry_agents,Azure AI Foundry Agent Service,orchestration_hitl,L1,Full,"Guardrails define intervention points (user input, tool call, tool response, output) with 'Annotate and block' action for agents, plus least-privilege RBAC-scoped agent identity tool access with narrow scopes.",https://learn.microsoft.com/en-us/azure/ai-foundry/guardrails/guardrails-overview
azure_ai_foundry_agents,Azure AI Foundry Agent Service,orchestration_hitl,L2,None,,
azure_ai_foundry_agents,Azure AI Foundry Agent Service,orchestration_hitl,L3,Full,Guardrails block risky content at tool-call/output intervention points; blueprint governance can disable or revoke permissions for all agents of a kind; agents get independent audit trails and inventory/auditing through Entra Agent ID.,https://learn.microsoft.com/en-us/azure/ai-foundry/agents/concepts/agent-identity
azure_ai_foundry_agents,Azure AI Foundry Agent Service,orchestration_hitl,L4,Full,"Build-test-deploy-monitor lifecycle with evaluations to catch regressions, per-agent Entra workload identity, versioning with rollback to previous versions, and end-to-end tracing/metrics observability.",https://learn.microsoft.com/en-us/azure/ai-foundry/agents/overview
