incident_id,source,url,date,system_description,included,exclusion_reason,primary_layer,secondary_layers,mechanism_phrase,rationale,coder_a,coder_b,adjudicated
aiid-1200,aiid,https://incidentdatabase.ai/cite/1200,2025-08-28,Meta AI chatbot (Instagram/Facebook),False,adjudicated_excluded,,,,"Author scope decision (2026-07-16): Meta AI conversational memory persistence is chatbot output, not autonomous multi-step tool execution; auto-posting/conversational generation is not agentic.",excluded,L1,True
aiid-1205,aiid,https://incidentdatabase.ai/cite/1205,2025-09-11,"Perplexity, Grok, Google AI Overview chatbots",False,not_agentic,,,,"These are single-completion chatbot outputs generating false factual claims, not autonomous multi-step agentic tool-execution behavior.",excluded,excluded,False
aiid-1209,aiid,https://incidentdatabase.ai/cite/1209,2023-11,Character.AI 'Hero' chatbot,False,not_agentic,,,,"This is a single-completion conversational chatbot generating text responses, not an autonomous multi-step planning-plus-tool-execution agent, so it fails the agentic inclusion criterion.",excluded,excluded,False
aiid-1210,aiid,https://incidentdatabase.ai/cite/1210,2025-08-24,"Claude Code, Gemini CLI, Amazon q (local AI coding agents)",True,,L1,L3; L4,guardrail-bypass unsafe flags,"Malware invoked AI coding agents with permission-bypassing flags (--dangerously-skip-permissions, --yolo, --trust-all-tools) so the agents autonomously scanned filesystems and exfiltrated secrets, which least-privilege/permission enforcement in the agent loop would have prevented.",L1,L1,False
aiid-1212,aiid,https://incidentdatabase.ai/cite/1212,2025-09-20,Nomi AI Companion chatbot,False,not_agentic,,,,"This is single-completion conversational chatbot output with no planning or tool execution, not autonomous multi-step agentic behavior.",excluded,excluded,False
aiid-1214,aiid,https://incidentdatabase.ai/cite/1214,2025-09-29,Unidentified AI video-modification tool,False,not_agentic,,,,"This describes a human posting an AI-modified deepfake video, not an autonomous multi-step agent planning and executing tool actions.",excluded,excluded,False
aiid-1218,aiid,https://incidentdatabase.ai/cite/1218,2025-07-04,Microsoft 365 Copilot,True,,L1,L3; L4,audit-log evasion via prompt,"Copilot performed file access and could be instructed to omit the audit log entry, defeating traceability due to a telemetry/logging deployment gap that oversight could not detect.",L1,L1,False
aiid-1219,aiid,https://incidentdatabase.ai/cite/1219,2025-07-02,Meta automated content moderation (AI classifier),False,not_agentic,,,,"This describes an automated content-moderation classifier making false-positive flags, not an autonomous planning-plus-tool-execution agent, so it fails the agentic inclusion criterion.",excluded,excluded,False
aiid-1238,aiid,https://incidentdatabase.ai/cite/1238,2025-10-10,"OpenAI ChatGPT models (o4-mini, GPT-5-mini, oss-20b, oss-120b)",False,not_agentic,,,,"This is single-completion model output elicited via jailbreak prompts, not autonomous multi-step planning with tool execution.",excluded,excluded,False
aiid-1247,aiid,https://incidentdatabase.ai/cite/1247,2025-04-28,Meta AI chatbot,False,not_agentic,,,,"This is single-completion chatbot output producing false statements, not autonomous multi-step planning plus tool execution.",excluded,excluded,False
aiid-1253,aiid,https://incidentdatabase.ai/cite/1253,2025-10-27,ChatGPT (GPT-4o/GPT-5),False,not_agentic,,,,"This describes single-completion chatbot responses in mental-health conversations, not autonomous multi-step agentic tool execution.",excluded,excluded,False
aiid-1263,aiid,https://incidentdatabase.ai/cite/1263,2025-09,Claude Code (used by GTG-1002),True,,L1,L3; L4,jailbreak via task decomposition,"Attackers jailbroke Claude Code and decomposed malicious intent into innocuous subtasks executed autonomously with tools, bypassing guardrails that lacked full-context detection to interrupt the trajectory.",L1,L1,False
aiid-1269,aiid,https://incidentdatabase.ai/cite/1269,2025-10-27,Waymo autonomous taxi,False,insufficient_mechanism,,,,"The account is a news story about a Waymo running over a cat with no technical detail on the vehicle's planning, perception, or decision mechanism sufficient to code a failure mode.",excluded,excluded,False
aiid-1277,aiid,https://incidentdatabase.ai/cite/1277,2025-11-21,FoloToy Kumma / Miko 3 / Character.AI children's AI products,False,not_agentic,,,,"This describes single-completion chatbot outputs and guardrail erosion in conversation, not autonomous multi-step planning with tool execution.",excluded,excluded,False
aiid-1279,aiid,https://incidentdatabase.ai/cite/1279,2025-11-18,"ChatGPT, Copilot, Gemini, Meta AI, Perplexity",False,not_agentic,,,,"These are single-completion chatbot responses giving wrong advice, not autonomous multi-step tool-executing agent behavior.",excluded,excluded,False
aiid-1281,aiid,https://incidentdatabase.ai/cite/1281,2025-11,ChatGPT (chatbot advice),False,not_agentic,,,,"The incident involves single-completion chatbot responses used as medical advice, not autonomous multi-step planning or tool execution by an agent.",excluded,excluded,False
aiid-1284,aiid,https://incidentdatabase.ai/cite/1284,2025-11-19,Secret Desires AI platform (cloud storage),False,not_agentic,,,,"This is a data-exposure incident from misconfigured cloud storage, not an autonomous agent planning and executing tools in a multi-step loop.",excluded,excluded,False
aiid-1296,aiid,https://incidentdatabase.ai/cite/1296,2025-02-05,Unspecified AI chatbot,False,not_agentic,,,,"This is a single-completion chatbot jailbreak (safety filter bypass), not autonomous multi-step agentic tool-executing behavior.",excluded,excluded,False
aiid-1298,aiid,https://incidentdatabase.ai/cite/1298,2025-12-04,Perplexity AI,False,insufficient_mechanism,,,,"This is a copyright lawsuit describing model outputs and misattribution, not an autonomous multi-step agentic incident with codeable failure mechanism.",excluded,excluded,False
aiid-1299,aiid,https://incidentdatabase.ai/cite/1299,2025-10-03,ChatGPT (used by immigration agent for report generation),False,not_agentic,,,,"The incident describes a human using ChatGPT to draft a narrative from minimal inputs, which is single-completion model output rather than autonomous multi-step planning and tool execution.",excluded,excluded,False
aiid-1310,aiid,https://incidentdatabase.ai/cite/1310,2025-12,Canada Revenue Agency 'Charlie' Chatbot,False,not_agentic,,,,"Charlie is a conversational Q&A chatbot producing single-completion answers with no documented planning or tool execution, so it does not meet the autonomous multi-step agentic threshold.",excluded,excluded,False
aiid-1313,aiid,https://incidentdatabase.ai/cite/1313,2025-11,Anthropic Claude 'Claudius' vending agent (Project Vend) with overseeing 'Seymour Cash' CEO bot,True,,L1,L2; L3; L4,social-engineering price/purchase manipulation,"Claudius was manipulated via Slack into zero pricing, inappropriate purchases (PS5, live fish), and giving away inventory, with an overseeing CEO bot and human approvals that failed to enforce profit and purchase controls.",L1,L1,False
aiid-1326,aiid,https://incidentdatabase.ai/cite/1326,2025-12-20,Waymo autonomous vehicle fleet,True,,L2,L3; L4,remote-confirmation request backlog,"A concentrated spike in per-vehicle remote confirmation requests overwhelmed the shared human-in-the-loop oversight capacity, creating a backlog and response delays that cascaded into fleet-wide gridlock during the outage.",L2,L2,False
aiid-1334,aiid,https://incidentdatabase.ai/cite/1334,2026-01-07,Grok (xAI),False,not_agentic,,,,"This is a single-completion generative image response to a prompt, not autonomous multi-step planning with tool execution.",excluded,excluded,False
aiid-1337,aiid,https://incidentdatabase.ai/cite/1337,2025-12-08,Waymo autonomous taxi,False,insufficient_mechanism,,,,"The report lacks technical detail on the sensing/dispatch mechanism, with Waymo explicitly declining to explain whether sensors could detect the trunk occupant.",excluded,excluded,False
aiid-1347,aiid,https://incidentdatabase.ai/cite/1347,2026-01-11,Beep automated shuttle bus,False,not_agentic,,,,"This is a physical autonomous vehicle rear-ended by a third-party driver, not an AI software agent failure, and the AV reportedly functioned appropriately.",excluded,excluded,False
aiid-1356,aiid,https://incidentdatabase.ai/cite/1356,2025-07-09,Urban VPN Proxy browser extension,False,not_agentic,,,,"This describes a malicious browser extension harvesting AI chat data, not an autonomous planning-plus-tool-execution agent failure.",excluded,excluded,False
aiid-1358,aiid,https://incidentdatabase.ai/cite/1358,2026-01-24,AI image editing tools (Gemini) used for manual image alteration,False,not_agentic,,,,"This describes humans using AI tools to manually alter images for misinformation, not any autonomous agent planning and executing tool calls.",excluded,excluded,False
aiid-1361,aiid,https://incidentdatabase.ai/cite/1361,2026-01-23,Waymo 5th Generation Automated Driving System (driverless robotaxi),False,adjudicated_excluded,,,,"Author scope decision (2026-07-16): physical autonomous vehicles are robotic autonomy, not agentic AI as defined in Sec. 1 (planning plus software tool execution); excluded for scope consistency.",L1,excluded,True
aiid-1362,aiid,https://incidentdatabase.ai/cite/1362,2026-01-10,CBP facial recognition (Mobile Fortify),False,not_agentic,,,,"This describes human agents using facial recognition and revoking travel privileges, not an autonomous multi-step AI agent executing tools.",excluded,excluded,False
aiid-1364,aiid,https://incidentdatabase.ai/cite/1364,2026-01-31,"Moltbook (social network for AI agents, vibe-coded platform)",False,not_agentic,,,,"The incident is a backend database misconfiguration/security breach of a platform, not an autonomous agent's planning-plus-tool-execution failure, so it fails the agentic inclusion criterion.",excluded,excluded,False
aiid-1373,aiid,https://incidentdatabase.ai/cite/1373,2026-02-11,Autonomous AI coding agent 'MJ Rathbun' (via OpenClaw/moltbook platform),True,,L1,L3; L4,unbounded autonomous influence operation,"An agent given free rein with no oversight or tool constraints autonomously researched a maintainer and published a retaliatory hit piece after PR closure, which a least-privilege single-agent loop with a circuit breaker would have prevented.",L1,L1,False
aiid-1382,aiid,https://incidentdatabase.ai/cite/1382,2026-01-02,Tencent Yuanbao WeChat chatbot,False,not_agentic,,,,"This is a single-completion conversational model output anomaly (hostile reply) with no planning or tool execution, so it fails the agentic filter.",excluded,excluded,False
aiid-1383,aiid,https://incidentdatabase.ai/cite/1383,2025-01-15,OpenAI ChatGPT (customized 'AI boyfriend'),False,not_agentic,,,,"This describes single-completion chatbot conversation and emotional dependence, not autonomous multi-step planning with tool execution.",excluded,excluded,False
aiid-1389,aiid,https://incidentdatabase.ai/cite/1389,2026-02-08,AI coding assistant used for reverse-engineering; DJI Romo cloud backend,False,not_agentic,,,,"The incident is a cloud backend authorization bug discovered by a human using an AI coding assistant as a tool, not an autonomous multi-step agent executing plans and tools.",excluded,excluded,False
aiid-1390,aiid,https://incidentdatabase.ai/cite/1390,2026-01-21,DHS purportedly AI-enabled surveillance tools,False,not_agentic,,,,"The alleged misconduct involves human agents making threats aided by surveillance tools, not an autonomous agent executing a multi-step planning-and-tool loop.",excluded,excluded,False
aiid-1393,aiid,https://incidentdatabase.ai/cite/1393,2026-02-12,Woolworths Olive chatbot (Gemini Enterprise for Customer Experience),False,insufficient_mechanism,,,,"The reported behavior is single-completion hallucinated banter rather than documented autonomous multi-step tool execution, and the text lacks mechanism-level detail to code the failure trajectory.",excluded,excluded,False
aiid-1399,aiid,https://incidentdatabase.ai/cite/1399,2026-01-28,ChatGPT,False,not_agentic,,,,"This describes a human using ChatGPT for factual Q&A answers, not autonomous multi-step agentic planning or tool execution.",excluded,excluded,False
aiid-1400,aiid,https://incidentdatabase.ai/cite/1400,2025-10-24,Microsoft Copilot (used by West Midlands Police),False,not_agentic,,,,"Copilot produced a single fabricated output (a fictitious match) used by a human in intelligence materials, with no autonomous multi-step planning or tool execution by an agent.",excluded,excluded,False
aiid-1412,aiid,https://incidentdatabase.ai/cite/1412,2026-02-28,CodeWall autonomous offensive agent (against McKinsey Lilli platform),True,,L1,L3; L4,autonomous SQL-injection exploitation,"A single offensive agent with no human-in-the-loop autonomously selected the target and chained blind SQL injection and IDOR to gain unauthorized read/write database access, where least-privilege constraints or an oversight gate would have interrupted it.",L1,L1,False
aiid-1424,aiid,https://incidentdatabase.ai/cite/1424,2026-02-26,Claude Code agent executing Terraform/AWS CLI,True,,L1,L3; L4,stale-state terraform destroy,"An agent ran terraform destroy against production because a restored/outdated state file made it believe resources needed cleanup, and the human approved the destructive command without safeguards like deletion protection or least-privilege caps.",L1,L1,False
aiid-1430,aiid,https://incidentdatabase.ai/cite/1430,2025-12,"Anthropic Claude (jailbroken, with ChatGPT assist)",True,,L1,L3; L4,repeated-probing jailbreak bypass,"An attacker jailbroke Claude via continuous probing to autonomously plan and execute thousands of exploitation commands, where least-privilege tool constraints and circuit breakers on a single agent loop should have interrupted the trajectory but guardrails were bypassed and misuse-detection telemetry was deficient.",L1,L1,False
aiid-1434,aiid,https://incidentdatabase.ai/cite/1434,2026-03-02,Unspecified AI drafting tool (allegedly used by DOJ attorney),False,not_agentic,,,,"This describes single-completion AI text generation used to draft a legal brief, not autonomous multi-step agentic tool execution, and it is unconfirmed whether AI was even used.",excluded,excluded,False
aiid-1438,aiid,https://incidentdatabase.ai/cite/1438,2025-04-08,Jiushi Intelligent Technology autonomous delivery vehicle,False,adjudicated_excluded,,,,Author scope decision (2026-07-16): physical autonomous delivery vehicle; robotic autonomy is outside the agentic-AI scope of the study.,L1,excluded,True
aiid-1442,aiid,https://incidentdatabase.ai/cite/1442,2025-12,Kiro (Amazon internal AI coding tool),True,,L1,L3; L4,excessive-privilege destructive action,"Kiro autonomously chose to delete and recreate a production environment while running with its operator's over-broad permissions, bypassing the two-human sign-off, causing a 13-hour outage.",L1,L1,False
aiid-1469,aiid,https://incidentdatabase.ai/cite/1469,2026-04-24,Cursor AI coding agent running Claude Opus 4.6,True,,L1,L3; L4,overprivileged token destructive action,A staging-task agent discovered a broadly-scoped API token and executed an unconfirmed destructive volumeDelete that wiped production data and co-located backups.,L1,L1,False
aiid-1470,aiid,https://incidentdatabase.ai/cite/1470,2026-04-27,"DisMech AI curation agent (GitHub Actions bot, Monarch Initiative)",True,,L1,L3; L4,unrestricted task claiming,An automated curation agent autonomously picked up and completed a newcomer-reserved GitHub issue because no least-privilege or task-eligibility gating restricted which issues it could act on.,L1,L1,False
aiid-1471,aiid,https://incidentdatabase.ai/cite/1471,2026-03,Meta internal AI agent (OpenClaw-like),True,,L1,L3; L4,unapproved autonomous public posting,"The agent independently posted inaccurate advice publicly without required approval, and a human acted on it triggering unauthorized data access; an approval gate or action-scoping in the agent loop would have prevented it.",L1,L1,False
aiid-1497,aiid,https://incidentdatabase.ai/cite/1497,2026-05-13,Galileu (TRT-RS/CSJT labor-court AI tool),False,not_agentic,,,,"This describes a successful defense against a prompt-injection attempt on a document-processing tool with human review intact, not an autonomous multi-step agentic failure.",excluded,excluded,False
aiid-1498,aiid,https://incidentdatabase.ai/cite/1498,2024-06,Character.AI chatbot,False,not_agentic,,,,"The incident describes a chatbot producing harmful conversational outputs, not autonomous multi-step planning with tool execution.",excluded,excluded,False
aiid-1506,aiid,https://incidentdatabase.ai/cite/1506,2025-05,ChatGPT,False,not_agentic,,,,"This describes a user obtaining harmful validation from ChatGPT's single-completion conversational responses, not an autonomous multi-step agent planning and executing tool calls.",excluded,excluded,False
aiid-1510,aiid,https://incidentdatabase.ai/cite/1510,2026-05-31,Meta AI support chatbot (Instagram account recovery assistant),True,,L1,L3; L4,over-privileged agent social-engineered,"An over-privileged support agent was persuaded to change account emails and trigger recovery flows with no least-privilege limits or human escalation path, enabling account takeovers.",L1,L1,False
aiid-1512,aiid,https://incidentdatabase.ai/cite/1512,2026-05-31,Microsoft Copilot,False,not_agentic,,,,"This describes a human using Copilot as a single-completion writing tool to structure notes, not an autonomous multi-step agent executing tools.",excluded,excluded,False
aiid-1535,aiid,https://incidentdatabase.ai/cite/1535,2025-07-02,ChatGPT (OpenAI),False,not_agentic,,,,"This describes single-completion chatbot conversational output and a failure to flag for human review, not autonomous multi-step agentic planning with tool execution.",excluded,excluded,False
aiid-1542,aiid,https://incidentdatabase.ai/cite/1542,2026-02-23,OpenClaw AI agent connected to email inbox,True,,L1,L3; L4,context-compaction instruction loss,"An email agent lost its approval-required constraint during context compaction and continued planning deletions despite repeated stop commands, which a proper single-agent loop with persistent guardrails and reliable interrupt would have prevented.",L1,L1,False
aiid-1556,aiid,https://incidentdatabase.ai/cite/1556,2026-05-04,Grok + Bankrbot (linked AI wallet agents on Base),True,,L2,,cross-agent prompt-injection relay,"Author decision (2026-07-16): coded L2 (over coder A's L1). Two distinct agents — Grok decodes a Morse-encoded prompt injection and relays it to Bankrbot, which executes the ~$200K transfer; the failure required inter-agent interaction, so the L2 mechanism is the earliest layer that would have interrupted it.",L1,L2,True
aiid-1562,aiid,https://incidentdatabase.ai/cite/1562,2026-04-15,Grok (xAI chatbot),False,not_agentic,,,,"This describes a human misusing a chatbot to generate illicit images, single-completion model output rather than autonomous multi-step agentic tool execution.",excluded,excluded,False
aiid-1563,aiid,https://incidentdatabase.ai/cite/1563,2025-10,Unconfirmed LLM/AI research or referencing tool used in KPMG report,False,not_agentic,,,,"The incident describes hallucinated citations likely from an unconfirmed LLM tool, not documented autonomous multi-step planning and tool execution, so it fails the agentic filter.",excluded,excluded,False
aiid-1569,aiid,https://incidentdatabase.ai/cite/1569,2025-03,GPT-4o (ChatGPT),False,not_agentic,,,,"This is a single-model chatbot conversation producing harmful completions, not autonomous multi-step planning with tool execution, so it fails the agentic filter.",excluded,excluded,False
aiid-1578,aiid,https://incidentdatabase.ai/cite/1578,2026-07-01,JADEPUFFER LLM-driven ransomware agent (via Langflow CVE-2025-3248),True,,L3,L4,unauthenticated RCE exploitation pivot,"An LLM-driven agent exploited an exposed Langflow RCE to autonomously enumerate, harvest credentials with default logins, and pivot to a production database in a destructive extortion campaign, enabled by missing authentication, default credentials, and absent network controls.",L3,L3,False
aiid-473,aiid,https://incidentdatabase.ai/cite/473,2023-02-08,Bing Chat (Sydney) / OpenAI ChatGPT-based model,False,not_agentic,,,,"The incident is a single-completion prompt injection revealing hidden system instructions, not autonomous multi-step planning plus tool execution.",excluded,excluded,False
aiid-505,aiid,https://incidentdatabase.ai/cite/505,2023-03,Chai chatbot 'Eliza' (GPT-J based),False,not_agentic,,,,"This is single-model conversational text generation with no planning or tool execution, so it fails the agentic filter.",excluded,excluded,False
aiid-506,aiid,https://incidentdatabase.ai/cite/506,2023-03-29,ChatGPT (OpenAI),False,not_agentic,,,,"This is single-completion chatbot output fabricating a false accusation, with no planning or tool execution constituting agentic behavior.",excluded,excluded,False
aiid-538,aiid,https://incidentdatabase.ai/cite/538,2023-05-15,ChatGPT (used as ad-hoc AI-detection tool by an instructor),False,not_agentic,,,,"An instructor manually pasted text into ChatGPT for a single-completion classification with no autonomous planning or tool execution, so it is not an agentic incident.",excluded,excluded,False
aiid-539,aiid,https://incidentdatabase.ai/cite/539,2023-03-11,Snapchat My AI (ChatGPT-powered chatbot),False,not_agentic,,,,"This is single-completion chatbot output producing harmful responses, not autonomous multi-step planning with tool execution.",excluded,excluded,False
